ticker,entry_time,exit_time,entry_price,exit_price,peak_price,pnl,pnl_pct,bars_to_exit,peak_capture,signal_valid,hmm_fit_success,exit_reason,status
BCG,2026-04-01 10:30:00,,,,,,,,,False,False,,no_previous_day
CHR,2026-04-02 08:00:00,,,,,,,,,False,False,,no_previous_day
AIOS,2026-04-27 15:15:00+00:00,,7.409999847412109,7.409999847412109,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BBGI,2026-04-27 14:30:00+00:00,,22.799999237060547,22.799999237060547,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CHR,2026-04-06 08:00:00,,,,,,,,,False,False,,no_previous_day
AQMS,2026-04-06 11:00:00,,,,,,,,,False,False,,no_previous_day
CETX,2026-04-07 10:30:00,,,,,,,,,False,False,,no_previous_day
BLRX,2026-04-08 02:30:00,,,,,,,,,False,False,,no_previous_day
BBGI,2026-04-08 07:00:00,,,,,,,,,False,False,,no_previous_day
AXIL,2026-04-08 08:10:00,,,,,,,,,False,False,,no_previous_day
BBGI,2026-04-27 14:30:00+00:00,,22.799999237060547,22.799999237060547,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BCG,2026-04-27 14:30:00+00:00,,1.9199999570846558,1.9199999570846558,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BENF,2026-04-10 07:30:00,,,,,,,,,False,False,,no_previous_day
BQ,2026-04-27 14:30:00+00:00,,0.7599999904632568,0.7599999904632568,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CHR,2026-04-14 08:00:00,,,,,,,,,False,False,,no_previous_day
BTBD,2026-04-14 10:30:00,,,,,,,,,False,False,,no_previous_day
BTTC,2026-04-15 10:00:00,,,,,,,,,False,False,,no_previous_day
BELFA,2026-04-27 14:45:00+00:00,,237.4949951171875,237.4949951171875,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BTOG,2026-04-16 10:30:00,,,,,,,,,False,False,,no_previous_day
ACXP,2026-04-27 14:30:00+00:00,,2.0,2.0,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CABO,2026-04-27 14:30:00+00:00,,100.99500274658203,100.99500274658203,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
ASBP,2026-04-17 08:00:00,,,,,,,,,False,False,,no_previous_day
BDSX,2026-04-20 06:00:00,,,,,,,,,False,False,,no_previous_day
ACXP,2026-04-20 08:00:00,,,,,,,,,False,False,,no_previous_day
BKTI,2026-04-20 08:10:00,,,,,,,,,False,False,,no_previous_day
BKTI,2026-04-20 10:10:00,,,,,,,,,False,False,,no_previous_day
ARTL,2026-04-20 10:30:00,,,,,,,,,False,False,,no_previous_day
BNBX,2026-04-20 10:30:00,,,,,,,,,False,False,,no_previous_day
AMCI,2026-04-27 14:30:00+00:00,,6.920000076293945,6.920000076293945,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BIYA,2026-04-21 10:30:00,,,,,,,,,False,False,,no_previous_day
ADV,2026-04-22 07:00:00,,,,,,,,,False,False,,no_previous_day
BTTC,2026-04-23 00:00:00,,,,,,,,,False,False,,no_previous_day
AIHS,2026-04-23 08:00:00,,,,,,,,,False,False,,no_previous_day
BDSX,2026-04-23 12:33:00,,,,,,,,,False,False,,no_previous_day
ALGS,2026-04-24 08:00:00,,,,,,,,,False,False,,no_previous_day
ACXP,2026-04-27 08:00:00,,,,,,,,,False,False,,no_previous_day
ASBP,2026-04-27 08:30:00,,,,,,,,,False,False,,no_previous_day
ADTX,2026-04-27 10:30:00,,,,,,,,,False,False,,no_previous_day
CHSN,2026-04-27 10:30:00,,,,,,,,,False,False,,no_previous_day
AIRE,2026-04-27 19:45:00+00:00,,6.660000324249268,6.660000324249268,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
AIRE,2026-04-27 19:45:00+00:00,,6.660000324249268,6.660000324249268,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BIYA,2026-04-27 19:45:00+00:00,,0.7570000290870667,0.7570000290870667,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CHSN,2026-04-27 19:45:00+00:00,,5.299999713897705,5.299999713897705,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BBGI,2026-04-28 19:45:00+00:00,,22.540000915527344,22.540000915527344,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
ACXP,2026-04-28 19:45:00+00:00,,2.049999952316284,2.049999952316284,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
APWC,2026-04-28 19:45:00+00:00,,1.5800000429153442,1.5800000429153442,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
CHSN,2026-04-28 19:45:00+00:00,,3.819999933242798,3.819999933242798,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
BELFA,2026-04-29 18:00:00+00:00,,227.5,239.61500549316406,239.61500549316406,12.115005493164062,5.325277139852335,16.0,100.0,True,True,wyckoff_volume_climax,completed
BKTI,2026-04-29 19:45:00+00:00,,91.22000122070312,96.31999969482422,96.80999755859375,5.099998474121094,5.590877445596446,15.0,91.23437952099927,True,True,wyckoff_volume_climax,completed
CHSN,2026-04-29 19:45:00+00:00,,3.2900002002716064,2.600714462144034,3.3500001430511475,-0.6892857381275723,-20.95093301424931,5.0,-100.0,True,True,emergency_trailing_atr,completed
BIYA,2026-04-29 19:45:00+00:00,,1.8849999904632568,1.8849999904632568,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
CABO,2026-04-29 19:45:00+00:00,,90.06999969482422,92.82499694824219,95.42500305175781,2.7549972534179688,3.058729058235227,8.0,51.44716202373303,True,True,hmm_distribution_state,completed
ALGS,2026-04-30 16:30:00+00:00,,6.050000190734863,6.03000020980835,6.090000152587891,-0.019999980926513672,-0.3305781867105094,10.0,-50.0,True,True,hmm_distribution_state,completed
AHMA,2026-04-30 16:45:00+00:00,,1.1309000253677368,1.1309000253677368,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
CABO,2026-04-30 16:45:00+00:00,,92.63999938964844,92.63999938964844,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
AHMA,2026-04-30 16:45:00+00:00,,1.1309000253677368,1.1309000253677368,,0.0,0.0,0.0,0.0,False,True,no_accumulation_state,completed
BIYA,2026-04-30 16:45:00+00:00,,2.0,1.9800000190734863,2.0199999809265137,-0.019999980926513672,-0.9999990463256836,4.0,-100.0,True,True,hmm_distribution_state,completed
CLWT,2026-05-01 14:45:00+00:00,,1.2000000476837158,1.2000000476837158,,0.0,0.0,0.0,0.0,False,False,insufficient_history,completed
BESS,2026-04-30 19:45:00+00:00,,2.509999990463257,2.680000066757202,2.7100000381469727,0.1700000762939453,6.772911431866952,12.0,85.00001788138917,True,True,wyckoff_volume_climax,completed
AIRE,2026-04-30 19:45:00+00:00,,3.059999942779541,3.153321521622794,3.4800000190734863,0.09332157884325287,3.0497248558274324,29.0,22.219419497900265,True,True,emergency_trailing_atr,completed
BELFA,2026-04-30 19:45:00+00:00,,244.2899932861328,257.2449951171875,263.6600036621094,12.955001831054688,5.303124232305622,21.0,66.88174956850814,True,True,hmm_distribution_state,completed
